energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.147,0.0913,141.284,0.0355,0.857,2.89e-06,3,0.407,2,229400,-8.822,0.0765,1,audio_features,spotify:track:5TvE3pk05pyFIGdSY9j4DJ
0.385,0.135,89.792,0.0288,0.536,0.0,4,0.522,0,207520,-7.355,0.236,1,audio_features,spotify:track:2RttW7RAu5nOAfq6YFvApB
0.151,0.0941,144.293,0.0395,0.907,0.0,4,0.402,4,238013,-14.227,0.483,0,audio_features,spotify:track:2is19a6HY7ZdWP654IMhEE
0.333,0.168,109.789,0.0272,0.824,3.87e-06,4,0.543,7,198573,-9.355,0.261,0,audio_features,spotify:track:0aIW3ekrhK1eh3BYCh11op
0.141,0.114,110.071,0.0492,0.895,0.0,4,0.519,6,280946,-10.047,0.224,1,audio_features,spotify:track:0nQ8r0zfoHRpseWY06o6TS
0.221,0.104,133.714,0.0371,0.693,0.0,4,0.47,5,208000,-9.243,0.264,1,audio_features,spotify:track:4fFfyouye6vrX9o9z4PVMu
0.34,0.285,129.98,0.0339,0.82,0.0,4,0.681,7,179998,-8.617,0.417,1,audio_features,spotify:track:1Fo4OvzP9PThFKMeMIAEYu
0.126,0.148,119.945,0.0376,0.911,0.0,4,0.614,9,229029,-9.403,0.351,1,audio_features,spotify:track:3u5bTqHMM1P34ZkbwzdckV
0.248,0.108,130.953,0.0451,0.954,4.21e-06,4,0.418,3,243007,-9.997,0.298,1,audio_features,spotify:track:5zCunX8URvLoBHlg1Fnjv6
0.29,0.118,166.467,0.051,0.952,0.00106,4,0.379,4,201080,-8.485,0.169,1,audio_features,spotify:track:4RL77hMWUq35NYnPLXBpih
0.415,0.154,92.971,0.0249,0.721,0.0,4,0.641,4,215723,-6.919,0.465,1,audio_features,spotify:track:5pQG3fFmp8SXQ3BsMLtoGa
0.452,0.105,102.963,0.0295,0.841,0.0038,4,0.713,1,218883,-9.638,0.235,1,audio_features,spotify:track:0pdKRp2sUthTPe7RLWpPqQ
0.324,0.381,77.495,0.0342,0.565,2.17e-05,3,0.565,4,241625,-9.137,0.139,0,audio_features,spotify:track:1MzaBCyq0TX0ScxSmG6Cd1
0.315,0.0809,119.822,0.0326,0.771,0.0,3,0.617,3,227434,-7.998,0.447,1,audio_features,spotify:track:5VjTlCuX8C11QDunDwvyNh
0.586,0.0813,126.684,0.0362,0.697,0.0,4,0.553,11,196373,-6.319,0.443,1,audio_features,spotify:track:3EPXxR3ImUwfayaurPi3cm
